param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,lbfgs,"(100, 100)",0.0001,0.352426636,0.036671717,52,49.12173319,0.040802717,0.744051683,0.005115907
relu,adam,"(100, 100)",1.00E-05,0.35072554,0.03725228,53,40.82120481,0.033401918,7.385528351,0.006653319
relu,lbfgs,"(50, 50)",0.01,0.350703305,0.030108456,54,23.7634439,0.020868969,0.20061304,0.00232261
relu,lbfgs,"(50, 50, 50)",0.0001,0.349938422,0.036821872,55,36.44582939,0.031604528,0.667804759,0.007283541
relu,adam,"(100, 100)",0.001,0.349776216,0.055578791,56,46.46278734,0.040403748,11.11379074,0.007471475
relu,adam,"(50, 50, 50)",1.00E-05,0.349738182,0.048182603,57,30.55181508,0.020801067,1.540369821,0.002783368
relu,lbfgs,"(50, 50)",1.00E-05,0.349397619,0.038190196,58,18.42837062,0.01919136,0.501398514,0.007058503
relu,lbfgs,"(50, 50, 50)",0.001,0.349322674,0.044158469,59,35.18881879,0.029633331,0.282907782,0.005754716
relu,lbfgs,"(50, 50)",0.0001,0.348631387,0.038023721,60,24.89192948,0.020001984,1.10211189,0.000631636
relu,lbfgs,"(50, 50)",0.001,0.348111585,0.041141235,61,23.98738399,0.018998146,0.282262339,0.000897678
relu,lbfgs,"(50, 50)",1,0.347950741,0.037965629,62,25.2153152,0.021799088,1.599960078,0.002223561
relu,lbfgs,"(50, 50)",0.1,0.347913335,0.033802868,63,24.08806267,0.021802616,0.513003199,0.001601971
relu,lbfgs,"(200, 200)",0.01,0.347463278,0.032480598,64,126.0479914,0.08940711,1.93312228,0.012566484
relu,adam,"(50, 50, 50)",1,0.346800515,0.056779288,65,40.75515885,0.030803013,2.651165378,0.004955359
relu,lbfgs,"(100, 100, 100)",1,0.346381638,0.04740327,66,78.4214066,0.052608442,1.049499249,0.005854709
relu,lbfgs,"(200, 200)",1.00E-05,0.345879489,0.035351761,67,133.9750364,0.095606518,4.07739116,0.029812584
relu,lbfgs,"(50, 50, 50)",1.00E-05,0.345617928,0.038437551,68,29.37605181,0.025187922,0.504991982,0.005475873
relu,lbfgs,"(200, 200)",0.0001,0.344579959,0.040540331,69,125.6307409,0.082809401,2.362272853,0.00906452
