,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
22,relu,lbfgs,3,0.0001,-0.2655231450190296,0.4338744843170467,70,5.718982378641765,0.0030004183451334634,0.616249248488574,1.5854785715150835e-06
40,relu,lbfgs,3,0.001,-0.07811556931426573,0.24971358507973881,64,6.572930256525676,0.004000186920166016,2.7806129302818423,5.840038639982171e-07
58,relu,lbfgs,3,0.01,-0.10256365687128617,0.3849256787517284,67,6.262409130732219,0.003333489100138346,1.69582300652498,0.00047159658334802046
76,relu,lbfgs,3,0.1,-0.17536805606358255,0.3186153586141235,69,5.403416156768799,0.003335237503051758,3.011890259153869,0.00047069604442453246
94,relu,lbfgs,3,1,0.039063721611637514,0.1556065869120962,51,6.193267901738484,0.003999074300130208,2.2258659940422043,4.052336624139774e-07
6,relu,lbfgs,4,1e-05,-0.026648719972526196,0.04394619440434915,63,3.9000205198923745,0.0026679039001464844,0.955286761533247,0.00047002201740696726
24,relu,lbfgs,4,0.0001,-0.09908136717544358,0.08945662292075669,66,8.24396014213562,0.005333662033081055,1.4625915458958896,0.0033011097986411966
42,relu,lbfgs,4,0.001,-0.13472889272355273,0.07368539664069317,68,9.031872113545736,0.003999471664428711,1.0568415598564962,2.867638040013109e-06
60,relu,lbfgs,4,0.01,0.009059357808612037,0.08922661798307513,55,5.879324595133464,0.003667434056599935,1.5383389728150636,0.00047210098942394396
78,relu,lbfgs,4,0.1,-0.40341706963376084,0.4055365472804024,72,9.14601437250773,0.0036675135294596353,1.0414771511108614,0.000471314409210715
96,relu,lbfgs,4,1,-0.09433316791128236,0.16242119402000443,65,8.535959005355835,0.0033347606658935547,1.5372442432182052,0.00047103515003029387
10,relu,lbfgs,7,1e-05,-1.5013437649335646,0.9506852018901569,89,9.727918783823648,0.0030045509338378906,0.47315402687893193,2.29510133714575e-06
28,relu,lbfgs,7,0.0001,-0.9789296334577514,0.40620854317148297,82,12.438033183415731,0.004334290822347005,0.6534908614244973,0.0004713164193090179
46,relu,lbfgs,7,0.001,-1.231268529180195,0.6152189640282043,84,12.626229445139566,0.004001458485921224,0.0923488077693218,2.1531132354965316e-06
64,relu,lbfgs,7,0.01,-1.1894303559558421,0.3559373988592135,83,11.678861935933432,0.004000504811604817,0.7807646958975469,9.79807218387759e-07
