Field,Description,Type,Binary,Numeric,String,ID,Prob,EPA,WPA,(Check)
punt_inside_twenty,Binary indicator for if the punt ended inside the twenty yard line.,Binary,1,0,0,0,0,0,0,1
kickoff_inside_twenty,Binary indicator for if the kickoff ended inside the twenty yard line.,Binary,1,0,0,0,0,0,0,1
quarter_end,Binary indicator for whether or not the row of the data is marking the end of a quarter.,Binary,1,0,0,0,0,0,0,1
sp,Binary indicator for whether or not a score occurred on the play.,Binary,1,0,0,0,0,0,0,1
goal_to_go,Binary indicator for whether or not the posteam is in a goal down situation.,Binary,1,0,0,0,0,0,0,1
shotgun,Binary indicator for whether or not the play was in shotgun formation.,Binary,1,0,0,0,0,0,0,1
no_huddle,Binary indicator for whether or not the play was in no_huddle formation.,Binary,1,0,0,0,0,0,0,1
qb_dropback,"Binary indicator for whether or not the QB dropped back on the play (pass attempt, sack, or scrambled).",Binary,1,0,0,0,0,0,0,1
qb_kneel,Binary indicator for whether or not the QB took a knee.,Binary,1,0,0,0,0,0,0,1
qb_spike,Binary indicator for whether or not the QB spiked the ball.,Binary,1,0,0,0,0,0,0,1
qb_scramble,Binary indicator for whether or not the QB scrambled.,Binary,1,0,0,0,0,0,0,1
timeout,Binary indicator for whether or not a timeout was called.,Binary,1,0,0,0,0,0,0,1
punt_blocked,Binary indicator for if the punt was blocked.,Binary,1,0,0,0,0,0,0,1
first_down_rush,Binary indicator for if a running play converted the first down.,Binary,1,0,0,0,0,0,0,1
first_down_pass,Binary indicator for if a passing play converted the first down.,Binary,1,0,0,0,0,0,0,1
first_down_penalty,Binary indicator for if a penalty converted the first down.,Binary,1,0,0,0,0,0,0,1
third_down_converted,Binary indicator for if the first down was converted on third down.,Binary,1,0,0,0,0,0,0,1
third_down_failed,Binary indicator for if the posteam failed to convert first down on third down.,Binary,1,0,0,0,0,0,0,1
fourth_down_converted,Binary indicator for if the first down was converted on fourth down.,Binary,1,0,0,0,0,0,0,1
fourth_down_failed,Binary indicator for if the posteam failed to convert first down on fourth down.,Binary,1,0,0,0,0,0,0,1
incomplete_pass,Binary indicator for if the pass was incomplete.,Binary,1,0,0,0,0,0,0,1
interception,Binary indicator for if the pass was intercepted.,Binary,1,0,0,0,0,0,0,1
touchback,Binary indicator for if a touchback occurred on the play.,Binary,1,0,0,0,0,0,0,1
punt_in_endzone,Binary indicator for if the punt was in the endzone.,Binary,1,0,0,0,0,0,0,1
punt_out_of_bounds,Binary indicator for if the punt went out of bounds.,Binary,1,0,0,0,0,0,0,1
punt_downed,Binary indicator for if the punt was downed.,Binary,1,0,0,0,0,0,0,1
punt_fair_catch,Binary indicator for if the punt was caught with a fair catch.,Binary,1,0,0,0,0,0,0,1
kickoff_in_endzone,Binary indicator for if the kickoff was in the endzone.,Binary,1,0,0,0,0,0,0,1
kickoff_out_of_bounds,Binary indicator for if the kickoff went out of bounds.,Binary,1,0,0,0,0,0,0,1
kickoff_downed,Binary indicator for if the kickoff was downed.,Binary,1,0,0,0,0,0,0,1
kickoff_fair_catch,Binary indicator for if the kickoff was caught with a fair catch.,Binary,1,0,0,0,0,0,0,1
fumble_forced,Binary indicator for if the fumble was forced.,Binary,1,0,0,0,0,0,0,1
fumble_not_forced,Binary indicator for if the fumble was not forced.,Binary,1,0,0,0,0,0,0,1
fumble_out_of_bounds,Binary indicator for if the fumble went out of bounds.,Binary,1,0,0,0,0,0,0,1
solo_tackle,Binary indicator if the play had a solo tackle (could be multiple due to fumbles).,Binary,1,0,0,0,0,0,0,1
safety,Binary indicator for whether or not a safety occurred.,Binary,1,0,0,0,0,0,0,1
penalty,Binary indicator for whether or not a penalty occurred.,Binary,1,0,0,0,0,0,0,1
tackled_for_loss,Binary indicator for whether or not a tackle for loss occurred.,Binary,1,0,0,0,0,0,0,1
fumble_lost,Binary indicator for if the fumble was lost.,Binary,1,0,0,0,0,0,0,1
own_kickoff_recovery,Binary indicator for if the kicking team recovered the kickoff.,Binary,1,0,0,0,0,0,0,1
own_kickoff_recovery_td,Binary indicator for if the kicking team recovered the kickoff and scored a TD.,Binary,1,0,0,0,0,0,0,1
qb_hit,Binary indicator if the QB was hit on the play.,Binary,1,0,0,0,0,0,0,1
rush_attempt,Binary indicator for if the play was a run.,Binary,1,0,0,0,0,0,0,1
pass_attempt,Binary indicator for if the play was a pass attempt (includes sacks).,Binary,1,0,0,0,0,0,0,1
sack,Binary indicator for if the play ended in a sack.,Binary,1,0,0,0,0,0,0,1
touchdown,Binary indicator for if the play resulted in a TD.,Binary,1,0,0,0,0,0,0,1
pass_touchdown,Binary indicator for if the play resulted in a passing TD.,Binary,1,0,0,0,0,0,0,1
rush_touchdown,Binary indicator for if the play resulted in a rushing TD.,Binary,1,0,0,0,0,0,0,1
return_touchdown,Binary indicator for if the play resulted in a return TD.,Binary,1,0,0,0,0,0,0,1
extra_point_attempt,Binary indicator for extra point attempt.,Binary,1,0,0,0,0,0,0,1
two_point_attempt,Binary indicator for two point conversion attempt.,Binary,1,0,0,0,0,0,0,1
field_goal_attempt,Binary indicator for field goal attempt.,Binary,1,0,0,0,0,0,0,1
kickoff_attempt,Binary indicator for kickoff.,Binary,1,0,0,0,0,0,0,1
punt_attempt,Binary indicator for punts.,Binary,1,0,0,0,0,0,0,1
fumble,Binary indicator for if a fumble occurred.,Binary,1,0,0,0,0,0,0,1
complete_pass,Binary indicator for if the pass was completed.,Binary,1,0,0,0,0,0,0,1
assist_tackle,Binary indicator for if an assist tackle occurred.,Binary,1,0,0,0,0,0,0,1
lateral_reception,Binary indicator for if a lateral occurred on the reception.,Binary,1,0,0,0,0,0,0,1
lateral_rush,Binary indicator for if a lateral occurred on a run.,Binary,1,0,0,0,0,0,0,1
lateral_return,Binary indicator for if a lateral occurred on a return.,Binary,1,0,0,0,0,0,0,1
lateral_recovery,Binary indicator for if a lateral occurred on a fumble recovery.,Binary,1,0,0,0,0,0,0,1
replay_or_challenge,Binary indicator for whether or not a replay or challenge.,Binary,1,0,0,0,0,0,0,1
defensive_two_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on a two point conversion, this results following a turnover.",Binary,1,0,0,0,0,0,0,1
defensive_two_point_conv,Binary indicator whether or not the defense successfully scored on the two point conversion.,Binary,1,0,0,0,0,0,0,1
defensive_extra_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on an extra point attempt, this results following a blocked attempt that the defense recovers the ball.",Binary,1,0,0,0,0,0,0,1
defensive_extra_point_conv,Binary indicator whether or not the defense successfully scored on an extra point attempt.,Binary,1,0,0,0,0,0,0,1
air_epa,EPA from the air yards alone. For completions this represents the actual value provided through the air. For incompletions this represents the hypothetical value that could've been added through the air if the pass was completed.,EPA,0,0,0,0,0,1,0,1
yac_epa,EPA from the yards after catch alone. For completions this represents the actual value provided after the catch. For incompletions this represents the difference between the hypothetical air_epa and the play's raw observed EPA (how much the incomplete pass cost the posteam).,EPA,0,0,0,0,0,1,0,1
epa,Expected points added (EPA) by the posteam for the given play.,EPA,0,0,0,0,0,1,0,1
total_home_epa,Cumulative total EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_epa,Cumulative total EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_rush_epa,Cumulative total rushing EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_rush_epa,Cumulative total rushing EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_pass_epa,Cumulative total passing EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_pass_epa,Cumulative total passing EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
comp_air_epa,EPA from the air yards alone only for completions.,EPA,0,0,0,0,0,1,0,1
comp_yac_epa,EPA from the yards after catch alone only for completions.,EPA,0,0,0,0,0,1,0,1
total_home_comp_air_epa,Cumulative total completions air EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_comp_air_epa,Cumulative total completions air EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_comp_yac_epa,Cumulative total completions yac EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_comp_yac_epa,Cumulative total completions yac EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_raw_air_epa,Cumulative total raw air EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_raw_air_epa,Cumulative total raw air EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_raw_yac_epa,Cumulative total raw yac EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
