season,player_name,fanPts,complete_pass,fumble,incomplete_pass,interception,no_huddle,pass_attempt,pass_touchdown,qb_dropback,qb_hit,rush_attempt,rush_touchdown,shotgun,tackled_for_loss,touchdown,air_yards,yards_after_catch,yards_gained,rec_yards,rush_yards,fanPts-1,complete_pass-1,fumble-1,incomplete_pass-1,interception-1,no_huddle-1,pass_attempt-1,pass_touchdown-1,qb_dropback-1,qb_hit-1,rush_attempt-1,rush_touchdown-1,shotgun-1,tackled_for_loss-1,touchdown-1,air_yards-1,yards_after_catch-1,yards_gained-1,rec_yards-1,rush_yards-1,fanPts-2,complete_pass-2,fumble-2,incomplete_pass-2,interception-2,no_huddle-2,pass_attempt-2,pass_touchdown-2,qb_dropback-2,qb_hit-2,rush_attempt-2,rush_touchdown-2,shotgun-2,tackled_for_loss-2,touchdown-2,air_yards-2,yards_after_catch-2,yards_gained-2,rec_yards-2,rush_yards-2,fanPts-3,complete_pass-3,fumble-3,incomplete_pass-3,interception-3,no_huddle-3,pass_attempt-3,pass_touchdown-3,qb_dropback-3,qb_hit-3,rush_attempt-3,rush_touchdown-3,shotgun-3,tackled_for_loss-3,touchdown-3,air_yards-3,yards_after_catch-3,yards_gained-3,rec_yards-3,rush_yards-3
1999,A.Ofodile,2.5,4.0,0.0,4.0,1.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Pierce,7.9,10.0,1.0,7.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,99.0,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Pupunu,-0.30000000000000004,4.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Reed,59.6,52.0,0.0,38.0,3.0,0.0,93.0,1.0,93.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,12.0,536.0,536.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Rison,21.8,21.0,0.0,23.0,0.0,0.0,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,218.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Smith,126.5,3.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,198.0,9.0,6.0,19.0,9.0,0.0,0.0,845.0,38.0,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Toomer,154.7,79.0,0.0,54.0,2.0,0.0,135.0,6.0,134.0,0.0,1.0,0.0,45.0,0.0,6.0,0.0,0.0,1187.0,1183.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Van Dyke,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Van Pelt,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Whitted,10.7,1.0,0.0,5.0,1.0,0.0,7.0,1.0,7.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,47.0,38.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Zereoue,6.5,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,65.0,17.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.al-Jabbar,64.9,17.0,0.0,5.0,0.0,0.0,22.0,1.0,22.0,0.0,144.0,1.0,2.0,19.0,2.0,0.0,0.0,529.0,84.0,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Alford,6.7,1.0,0.0,4.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Barker,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
