param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,adam,13,0.00001,0.463711762,0.027192383,1,5.78259449,0.007601929,0.273417843,3.20E-03
relu,adam,13,0.01,0.460027641,0.022006087,5,7.619627857,0.007799768,0.736001633,0.001163509
relu,adam,13,0.001,0.460003525,0.020440774,6,7.199057627,0.007105398,0.280344893,1.02E-03
relu,adam,13,1,0.45995519,0.022888907,7,7.826127052,0.006801939,0.590954428,0.000401197
relu,adam,13,0.0001,0.459570838,0.021424246,8,7.435811949,0.006797838,0.47010341,0.000401409
relu,adam,13,0.1,0.459531425,0.021416407,9,7.890695906,0.006251097,0.700708353,0.007655999
relu,adam,14,0.1,0.45647609,0.023889828,15,6.954922485,0.006125307,0.687668649,0.005824212
relu,adam,14,0.01,0.454988449,0.030401965,19,8.354819012,0.008525658,0.81496016,0.003571526
relu,adam,14,0.00001,0.454472448,0.028177147,20,6.306202841,0.007510424,0.893024315,0.001891251
relu,adam,14,0.0001,0.453937295,0.028500158,22,7.484237432,0.006601381,0.459759088,0.001021068
relu,adam,7,0.0001,0.452747617,0.024341413,23,7.448037386,0.006798506,0.963512107,0.00222542
relu,adam,14,0.001,0.452668017,0.026351192,24,7.897789574,0.008198261,0.816078257,0.001937894
relu,adam,7,0.1,0.452662449,0.024431742,25,7.629522753,0,0.25571974,0
relu,adam,7,0.00001,0.452655642,0.024459873,26,5.676442432,0.004398966,0.081632138,0.000488112
relu,adam,7,1,0.452522971,0.023626389,27,8.5644557,0.005998611,0.305377597,0.000631885
relu,adam,7,0.001,0.452427323,0.024252154,28,8.139929533,0.008400917,0.328876044,0.003877853
relu,adam,7,0.01,0.45205411,0.024542837,29,7.9700387,0.005402231,0.14137638,0.002800327
relu,adam,41,0.1,0.451482899,0.034740996,30,9.084270144,0.011380577,1.425864419,0.006753542
relu,adam,41,0.00001,0.451198088,0.035057331,31,6.920486593,0.00979991,1.585690493,0.001165722
relu,adam,16,0.001,0.450728952,0.034369321,32,8.577699375,0.012388563,0.606326388,0.008826389
relu,adam,30,0.1,0.450614063,0.021054617,33,12.31151953,0.010414886,2.785237022,0.003498673
relu,adam,14,1,0.450240048,0.031374428,34,7.977407265,0.007401419,1.215002069,0.000488855
relu,adam,16,0.00001,0.450237358,0.033572163,35,8.243072462,0.00780201,0.334679307,2.32E-03
relu,adam,16,0.0001,0.449963277,0.033429233,36,7.992748022,0.00820055,0.671791295,0.002481375
relu,adam,41,1,0.44919325,0.035723167,37,10.71660109,0.010400534,2.659513297,0.000492431
relu,adam,18,0.00001,0.449040198,0.025881872,38,7.960145998,0.01079216,0.280871284,0.009607298
relu,adam,18,0.0001,0.448736047,0.027896212,39,12.22782497,0.018001366,1.277600198,0.021503686
relu,adam,18,0.01,0.448424793,0.02733935,40,10.39403572,0.007200623,0.836626057,0.000399046
relu,adam,32,0.001,0.448404068,0.026946314,41,10.31367602,0.007600927,2.232754934,0.003826615
relu,adam,30,0.00001,0.448305375,0.021937955,42,7.656698036,0.009800911,0.721236867,2.40E-03
relu,adam,18,1,0.448098406,0.026139712,43,10.82172599,0.01019907,1.200965372,0.004915613
relu,adam,30,0.001,0.448051509,0.026135895,44,10.43956118,0.0088027,1.554847638,0.001166639
relu,adam,16,0.01,0.447507517,0.032782616,45,8.541979885,0.007002926,0.878475001,1.56E-06
relu,adam,18,0.001,0.447374178,0.026908163,46,11.56552496,0.006999588,1.304976209,0.000895857
relu,adam,32,1,0.447336317,0.025733652,47,12.25835476,0.008400631,3.719160511,0.001200016
relu,adam,32,0.1,0.447143021,0.027761865,48,9.908781815,0.012500286,1.532304874,0.006250144
relu,adam,41,0.001,0.447111368,0.040820671,49,10.02362599,0.01059885,1.43045605,0.001017898
relu,adam,30,0.0001,0.446970196,0.024192892,50,9.873872995,0.009402561,1.018476614,0.000801542
relu,adam,16,1,0.44673861,0.032425505,51,9.368044806,0.013402653,1.47529478,0.01280036
relu,adam,30,1,0.44633027,0.022832208,52,8.996781778,0.004800701,0.876030721,0.00263872
relu,adam,21,0.01,0.446218575,0.020477416,53,12.13743477,0.00897727,1.877891502,0.001210419
relu,adam,21,0.001,0.445980631,0.022684104,54,10.69774656,0.009751272,0.500887297,0.004122548
relu,adam,16,0.1,0.445863748,0.031985864,55,7.970510626,0.007325554,1.131600819,0.004999826
relu,adam,30,0.01,0.445806235,0.028238735,56,10.26810207,0.009376955,1.742912529,0.007656252
relu,adam,18,0.1,0.445770926,0.028227633,57,10.96827722,0.011050892,1.19779272,0.003788459
relu,adam,21,1,0.445712098,0.021594766,58,12.47966156,0.008599329,1.036481409,0.001200057
relu,adam,41,0.01,0.445460561,0.029100362,59,9.982931185,0.01619997,1.543233378,0.011908106
relu,adam,41,0.0001,0.445033637,0.039596697,60,8.70877471,0.010102797,1.884326407,0.001113919
relu,adam,21,0.0001,0.445001553,0.021662246,61,11.29497213,0.007666969,0.572396181,0.000665154
relu,adam,21,0.1,0.444778058,0.018390078,62,10.39889803,0.004526043,0.345050085,0.006178587
relu,adam,21,0.00001,0.444249656,0.017964032,63,7.92526474,0.006203413,0.695048079,0.000746801
relu,adam,43,0.1,0.44372937,0.022195533,64,10.76690803,0.011377668,1.910429654,0.006090788
relu,adam,43,0.001,0.443269951,0.029375183,65,8.953818512,0.010999489,0.438871759,0.000893084
relu,adam,43,0.00001,0.442959031,0.02846552,66,6.953200388,0.010201979,0.548309387,0.003431271
relu,adam,65,0.1,0.442647839,0.036185717,67,11.61082206,0.01197772,0.843994239,0.006074813
relu,adam,43,0.01,0.441955796,0.020570861,68,10.44486079,0.011601686,1.50631489,0.000797816
relu,adam,32,0.0001,0.441945583,0.021877954,69,7.814929724,0.007999229,1.34373033,0.00063484
relu,adam,43,0.0001,0.441449966,0.024163756,70,11.01072617,0.011601257,1.965042918,0.001020744
relu,adam,65,0.00001,0.440835868,0.031621681,71,8.642477179,0.010203552,1.103178215,0.000400092
relu,adam,65,0.01,0.43948492,0.029787064,74,12.73037457,0.013799047,1.466859882,0.001468783
relu,adam,32,0.01,0.439328193,0.024035025,75,9.335496378,0.009402132,2.044351947,0.000490789
relu,adam,26,1,0.43912548,0.033206612,77,10.56938357,0.008201265,1.284384997,0.000400123
relu,adam,65,1,0.438974315,0.030047139,78,14.25878735,0.012800312,2.929565778,0.001327676
relu,adam,43,1,0.43845683,0.022030005,79,12.26135678,0.011505318,2.060299701,0.002408628
relu,adam,65,0.001,0.438153034,0.031284777,80,13.06494865,0.012999344,1.158214196,1.10E-03
relu,adam,65,0.0001,0.435204963,0.031533075,83,10.33080621,0.013941193,2.287903764,0.00369805
relu,adam,26,0.00001,0.434619642,0.026757487,84,7.780370998,0.007198238,0.931752393,0.000982024
relu,adam,26,0.1,0.434444552,0.027053587,86,9.88198595,0.012933207,1.438726214,0.002483218
relu,adam,26,0.0001,0.434293973,0.027722099,87,10.37092366,0.008400774,1.274602441,0.000802894
relu,adam,26,0.001,0.434152788,0.026984794,88,10.31005273,0.009198427,1.635247022,0.001939201
relu,adam,26,0.01,0.42998836,0.023091095,90,11.07440267,0.008199549,1.322782105,0.000745962
relu,adam,32,0.00001,0.428585404,0.035993607,92,7.397505188,0.008105421,0.897566311,0.001018249
relu,lbfgs,7,0.0001,0.462041386,0.02445912,2,2.449144697,0.004189491,0.162625247,0.000378851
relu,lbfgs,7,0.00001,0.460149975,0.025172547,3,2.334963369,0.004600668,0.054228682,0.000801695
relu,lbfgs,7,0.1,0.460139489,0.022990593,4,3.262119627,0,0.094800908,0
relu,lbfgs,18,0.0001,0.458775963,0.032821121,10,5.441652966,0.013209915,0.633057293,0.008925142
relu,lbfgs,18,1,0.45834332,0.030504379,11,5.449426794,0.008402634,0.559869467,0.002153928
relu,lbfgs,18,0.01,0.45757775,0.033791582,12,5.114268255,0.010400915,0.29237075,0.005352745
relu,lbfgs,18,0.1,0.456975418,0.032529964,13,5.037256002,0.002999163,0.228456009,0.003686607
relu,lbfgs,7,0.01,0.456593256,0.030227032,14,3.304678202,0.005401039,0.126857784,7.99E-04
