param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,lbfgs,1,1e-05,0.18437628933360395,0.14663642222468173,316,0.5981772422790528,0.00028014183044433594,0.17621592475606124,0.0005602836608886719
relu,adam,1,1e-05,-0.4321672115424852,0.026224096004755466,319,4.132998752593994,0.0031258583068847655,0.14562488489447867,0.006251716613769531
relu,lbfgs,2,1e-05,0.4520504128500473,0.034354403833368026,109,1.1764324188232422,0.009378147125244141,0.21117896965955943,0.007657225242847749
relu,adam,2,1e-05,0.4448166964630803,0.02986299769497791,179,4.514231204986572,0.0,0.30161656383099256,0.0
relu,lbfgs,3,1e-05,0.4602084258672626,0.025899056431036384,24,1.2654833316802978,0.003925800323486328,0.12096003126267274,0.006054777444062771
relu,adam,3,1e-05,0.4577649746489939,0.027424772014349716,55,4.950625276565551,0.00340118408203125,0.3043435060544318,0.0028010233361225882
relu,lbfgs,4,1e-05,0.4572327605392091,0.026563497267020248,66,1.5713220119476319,0.0040015697479248045,0.19442059038205353,0.0006331662126727566
relu,adam,4,1e-05,0.44055234641178664,0.024559296176168973,202,4.9490760326385494,0.0031258106231689454,0.17881265244880237,0.006251621246337892
relu,lbfgs,5,1e-05,0.44796615342384555,0.023063468281737148,149,1.7848334312438965,0.006455516815185547,0.2432894621736694,0.007499870468803664
relu,adam,5,1e-05,0.4345379851177663,0.028735603242250034,233,5.082175922393799,0.0,0.14539343120162987,0.0
relu,lbfgs,6,1e-05,0.46159134506616945,0.02337867566463854,22,1.9292518138885497,0.0,0.07558783660113079,0.0
relu,adam,6,1e-05,0.4672393209369403,0.02789106070784846,6,4.718129396438599,0.006253242492675781,0.4293274318718991,0.007658627457735261
relu,lbfgs,7,1e-05,0.4601499745523391,0.025172546737352277,28,2.3174742221832276,0.0031259536743164064,0.07961261372447205,0.006251907348632813
relu,adam,7,1e-05,0.4526556415855989,0.024459873388942954,104,5.45754714012146,0.006251382827758789,0.0765560595803542,0.007656349060743984
relu,lbfgs,8,1e-05,0.45466903795451696,0.02756098791276011,87,2.067162370681763,0.0031248092651367187,0.08941860449885455,0.006249618530273437
relu,adam,8,1e-05,0.4367570052187489,0.02836270312389597,218,4.771543073654175,0.0008004188537597656,1.0395999156778206,0.0016008377075195312
relu,lbfgs,9,1e-05,0.448612077840653,0.012288595498877905,143,2.9178778171539306,0.005344009399414063,0.4749224464434977,0.005817446588593139
relu,adam,9,1e-05,0.4513371091966777,0.030489635814747854,115,6.705868721008301,0.003125905990600586,0.5508029301658641,0.006251811981201172
relu,lbfgs,10,1e-05,0.46843990639873534,0.025821520689994916,2,2.7537752628326415,0.006251764297485351,0.11039108991068756,0.012503528594970703
relu,adam,10,1e-05,0.4601575141021138,0.023717883771284313,27,5.990139150619507,0.0,0.1619951254372784,0.0
relu,lbfgs,11,1e-05,0.44982959471492967,0.029172164668096426,135,2.6745298385620115,0.0,0.10744891543518516,0.0
relu,adam,11,1e-05,0.4545707998761307,0.025552858414099114,88,6.671961784362793,0.0,0.16952741132289,0.0
relu,lbfgs,12,1e-05,0.44981355798368716,0.030680913016408635,136,2.310628604888916,0.0,0.052010232179521464,0.0
relu,adam,12,1e-05,0.4593800126607251,0.023386866582303774,43,6.758478355407715,0.0,0.19396738516756976,0.0
relu,lbfgs,13,1e-05,0.4345397139745845,0.029778267282418964,232,3.1331527709960936,0.009377145767211914,0.14281133650190117,0.01250286102294922
relu,adam,13,1e-05,0.4637117621782596,0.027192382689939454,16,5.872782516479492,0.006252193450927734,0.27378134923695857,0.007657341917420216
relu,lbfgs,14,1e-05,0.42422945955324043,0.029967177268570493,250,3.2414907932281496,0.00625152587890625,0.059617302716960266,0.007656524378833951
relu,adam,14,1e-05,0.45447244822120003,0.0281771467299677,89,5.884305047988891,0.006250858306884766,0.712453685702187,0.007655707134290895
relu,lbfgs,15,1e-05,0.4227823158869203,0.023758579206669708,256,3.7095322132110597,0.0,0.08153710389033296,0.0
relu,adam,15,1e-05,0.45057458665143557,0.02312844697273247,126,7.768370151519775,0.0033296585083007813,0.20023489023888807,0.0061639366431919425
relu,lbfgs,16,1e-05,0.4229633071044848,0.03335080331740516,255,3.681304168701172,0.006252002716064453,0.09166329463187463,0.00765710828618179
relu,adam,16,1e-05,0.45023735846123225,0.03357216277565553,132,5.935762929916382,0.003125572204589844,0.5022675987475478,0.006251144409179687
relu,lbfgs,17,1e-05,0.4235421282104067,0.02979631585786699,251,4.143888330459594,0.003125905990600586,0.1327254690568543,0.006251811981201172
relu,adam,17,1e-05,0.456621713430925,0.024602128398384767,71,7.967526865005493,0.00937795639038086,0.31528812578758425,0.007657070086542679
relu,lbfgs,18,1e-05,0.45555069514466895,0.03478580844392332,81,3.7491247177124025,0.003126192092895508,0.08813377610577222,0.006252384185791017
relu,adam,18,1e-05,0.44904019797667727,0.02588187210846375,140,8.433177280426026,0.005926942825317383,1.1350560076981548,0.005807451576739594
relu,lbfgs,19,1e-05,0.45067281979954227,0.034198314555844794,124,5.000705337524414,0.008845233917236328,0.44194521751392446,0.005391184398443299
relu,adam,19,1e-05,0.4463661821692881,0.027465957441141407,162,9.458358716964721,0.0067996978759765625,0.6062419383006491,0.000748776540796435
relu,lbfgs,20,1e-05,0.4180353375731668,0.03818767483685203,267,4.490359210968018,0.012403583526611328,0.33669047104907374,0.008065161136708457
relu,adam,20,1e-05,0.4347622062712778,0.025997963602196993,225,8.429707193374634,0.009001493453979492,0.4197929630333322,0.0033499748778002326
relu,lbfgs,21,1e-05,0.4070244660423213,0.030676628295666322,279,4.728084516525269,0.00639958381652832,0.19138016015841125,0.0038281630769578527
relu,adam,21,1e-05,0.4442496556302943,0.017964032446969775,185,8.256439971923829,0.0045258522033691405,0.5503492319087355,0.006179177083730121
relu,lbfgs,26,1e-05,0.406707523262702,0.03579158021345878,281,5.295712661743164,0.015097618103027344,0.15961150114097641,0.011582123712270596
relu,adam,26,1e-05,0.4346196420520352,0.026757487422067384,230,8.671118354797363,0.009525537490844727,1.2961059713232994,0.0037029643540471982
relu,lbfgs,30,1e-05,0.40850637634205694,0.0280507475397411,273,7.34065580368042,0.013450145721435547,0.3347763644043132,0.006183877299010192
relu,adam,30,1e-05,0.44830537475297805,0.021937954947856053,146,8.917804336547851,0.0030566692352294923,0.7067113076063057,0.0037505898608943076
relu,lbfgs,32,1e-05,0.4055452023887135,0.03128080699788268,286,7.683922529220581,0.007852888107299805,0.34453614202903443,0.006990362209612191
relu,adam,32,1e-05,0.42858540366193154,0.03599360694147271,242,7.92878041267395,0.009377384185791015,1.0595597655403948,0.007656602935466445
relu,lbfgs,41,1e-05,0.38884299774695485,0.032395396406543875,302,9.632984018325805,0.009378814697265625,0.6438058645558082,0.012505364434734581
relu,adam,41,1e-05,0.4511980881971748,0.03505733063990366,118,9.501187753677367,0.012504291534423829,2.166632298874313,0.006252145789941477
relu,lbfgs,43,1e-05,0.3946337580355608,0.025140818028962803,296,10.26538438796997,0.006250953674316407,0.25480948517926927,0.007655823526689058
relu,adam,43,1e-05,0.4429590306646144,0.028465520346721614,188,8.462726259231568,0.009377670288085938,0.7166019557336836,0.007656836458294235
relu,lbfgs,65,1e-05,0.38190167947324183,0.03759289514307311,310,14.281760501861573,0.01680102348327637,0.6714473862343109,0.0031871014741842382
relu,adam,65,1e-05,0.44083586792600354,0.03162168107738537,195,12.125926446914672,0.012170743942260743,1.3494394098325189,0.004444607035966831
relu,lbfgs,1,0.0001,0.18355657591062147,0.1481951837934988,317,0.771147632598877,0.0008000850677490235,0.2628555110531767,0.0016001701354980467
relu,adam,1,0.0001,-0.4321672115445162,0.026224096005179776,320,5.771056604385376,0.008213615417480469,0.13074456878354976,0.007904590587008833
relu,lbfgs,2,0.0001,0.4575509344350491,0.031606240243126284,62,1.7357351303100585,0.005968618392944336,0.2196578056627902,0.00523068814107655
relu,adam,2,0.0001,0.44481668911109606,0.029862975997576483,180,6.188533973693848,0.003341531753540039,0.3877396730682051,0.006158059068541558
relu,lbfgs,3,0.0001,0.4571121794914375,0.027460032756492996,67,1.435795545578003,0.004200172424316406,0.4300861787707764,0.002135595996973071
relu,adam,3,0.0001,0.45781651663810263,0.027443089124760813,53,6.666103076934815,0.003943777084350586,0.4571815820658296,0.006053274075547992
relu,lbfgs,4,0.0001,0.46013273825968676,0.02553061042249566,30,1.9730783462524415,0.009924983978271485,0.2920233244149651,0.004234351608499959
relu,adam,4,0.0001,0.4405523474919539,0.024559296701869425,201,6.775152349472046,0.003600788116455078,0.2233444679391729,0.003007072781467437
relu,lbfgs,5,0.0001,0.45090027958811235,0.019027464271059526,119,2.387958860397339,0.007252311706542969,0.4767902402896599,0.007079607535507417
relu,adam,5,0.0001,0.43454982163303546,0.028709147937217096,231,8.782782220840454,0.0084014892578125,1.6008256200334725,0.005352017218863531
relu,lbfgs,6,0.0001,0.46171016170475776,0.025152770439026636,21,3.5448734283447267,0.0058019161224365234,0.5516339909779826,0.0021356137696837154
