,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
102,relu,lbfgs,35,1,-3.290719545972854,0.8877699267038237,109,39.081605752309166,0.020668506622314453,5.26647750990324,0.008220286221488507
18,relu,lbfgs,47,1e-05,-2.730523531829906,1.2171028884229351,105,58.963436683019005,0.014002482096354166,0.6889890003548612,0.004964867297557952
38,relu,lbfgs,47,0.0001,-2.3117300907821554,0.9521501755673992,102,59.47425055503845,0.02000149091084798,0.7356521125360926,0.014145943452343867
58,relu,lbfgs,47,0.001,-2.2009280046193314,0.6669163324394977,99,59.76689124107361,0.00999919573465983,0.4047492483979247,1.6783644423439406e-06
78,relu,lbfgs,47,0.01,-2.1991226686841876,0.5111561373215034,98,59.448317209879555,0.014336744944254557,0.3529763052193357,0.006848492932689708
98,relu,lbfgs,47,0.1,-2.18468469315372,0.6062101055788174,97,59.711205879847206,0.012001832326253256,0.5777622290394178,0.0016324854716985907
118,relu,lbfgs,47,1,-2.5696101482787213,1.4965245824542377,104,46.8590358098348,0.007330258687337239,3.523875294220077,0.0012483191285258958
14,relu,lbfgs,137,1e-05,-1.2678991188634885,0.8984577744875352,80,150.6737654209137,0.043000380198160805,0.7616877882686277,0.013492086699936293
34,relu,lbfgs,137,0.0001,-1.5631819112306016,1.0897617783574303,86,150.26394136746725,0.020333210627237957,1.1176501682933933,0.005437092437749551
54,relu,lbfgs,137,0.001,-2.3829385245589725,2.0092828341711204,103,150.38229703903198,0.030000845591227215,1.4325500003185245,0.005657568914459586
74,relu,lbfgs,137,0.01,-1.624567768554143,1.4318331967318139,89,151.5005397796631,0.04100267092386881,0.6865324124295951,0.013734631982804937
94,relu,lbfgs,137,0.1,-2.096863298265274,2.1005239515769984,96,149.51968908309937,0.03066873550415039,2.090108792073802,0.010209987115392552
114,relu,lbfgs,137,1,-1.2732377654175198,0.6139847114389794,81,75.93998908996582,0.023668368657430012,2.7194850912840005,0.01052988277302158
