,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
66,relu,lbfgs,8,0.01,-1.6360439526206643,1.034163123343266,89,12.520849784215292,0.0,0.4843631112226619,0.0
84,relu,lbfgs,8,0.1,-1.9102322915598509,0.5855969892474092,91,11.274189710617065,0.005210002263387044,0.34699888767505055,0.0073680558608764804
102,relu,lbfgs,8,1,-1.0567109859606518,0.6831359501849792,82,11.469189564387003,0.005211591720581055,0.3818259304291984,0.007370303692797061
8,relu,lbfgs,38,1e-05,-2.9379997139984515,1.2069422076726128,96,23.885926564534504,0.0,4.598173297928034,0.0
26,relu,lbfgs,38,0.0001,-3.080735307089897,1.580177204606239,99,24.72132118542989,0.005210161209106445,6.266478816403326,0.007368280644068539
44,relu,lbfgs,38,0.001,-3.621370290039877,1.7257080969952334,102,28.715103546778362,0.0,2.809052790236355,0.0
62,relu,lbfgs,38,0.01,-3.078627921027888,1.3023201306328744,98,27.827946662902832,0.010420083999633789,3.255931149900096,0.007368112062460585
80,relu,lbfgs,38,0.1,-2.8020267956192897,0.8396190694668453,94,27.16612672805786,0.001405795415242513,2.724277428184572,0.0019880949421578788
98,relu,lbfgs,38,1,-1.4023749547982074,0.23225905799648391,87,24.4444096883138,0.0,7.2384346248111,0.0
14,relu,lbfgs,51,1e-05,-3.697802591399571,1.2917050416224651,103,37.99711243311564,0.005212624867757161,3.2058917506478295,0.007371764783545439
32,relu,lbfgs,51,0.0001,-3.847366183977902,1.1962805947812258,105,34.05807956059774,0.0,7.355687632628895,0.0
50,relu,lbfgs,51,0.001,-3.7366706203893174,1.6026754231771863,104,33.15750765800476,0.005210320154825847,8.47718356095903,0.007368505427260596
68,relu,lbfgs,51,0.01,-5.149464199868915,2.703867260599011,108,32.911952098210655,0.015628496805826824,9.286575547838703,1.4740019632173703e-06
86,relu,lbfgs,51,0.1,-4.645074285536951,2.176622286333808,107,35.85973286628723,0.0,3.7034900015600987,0.0
104,relu,lbfgs,51,1,-1.3490141186818716,0.124502374748059,85,35.492029666900635,0.005549510320027669,2.3181023586785834,0.007138966868640122
16,relu,lbfgs,149,1e-05,-2.9791337763620547,1.6554675680369553,97,82.79248428344727,0.015628258387247723,9.191057141822741,1.959614436775518e-06
34,relu,lbfgs,149,0.0001,-3.275200271981408,1.913047289475587,101,77.31990917523702,0.015999873479207356,18.560293297436537,0.0005250935727323544
52,relu,lbfgs,149,0.001,-3.2452778682140853,2.0246358345352915,100,72.10220154126485,0.015630165735880535,17.080387216957376,1.920548434828849e-06
70,relu,lbfgs,149,0.01,-2.821234736038681,1.547830876184329,95,82.69273042678833,0.010418017705281576,15.666860051804226,0.007366651110607071
88,relu,lbfgs,149,0.1,-4.0584681760944,2.365505590538287,106,80.14192128181458,0.0006879170735677084,15.592109802755596,0.0009728616552274633
106,relu,lbfgs,149,1,-1.0736721004351037,0.3592939472338221,83,72.04622507095337,0.0,4.243422941752784,0.0
