,Algorithm,Type,Metric,Position,Subset,Multioutput,Opponent Data,PCA,Season Total + Play Mean Data,Season Total Data,Split by Position,Teammate Data
65,Regression,ElasticNet,RMSE,All,Base Model,,,,47.2,,,
66,Regression,ElasticNet,RMSE,All,Base/Default Model,,,,,47.3,,
67,Regression,ElasticNet,RMSE,All,Hyperparameter Optimization,,,,,47.3,,
68,Regression,ElasticNet,RMSE,All,Manual Feature Selection,,,,47.2,47.4,,
69,Regression,ElasticNet,RMSE,All,Optimized + Standardized,,,,46.8,,,
70,Regression,ElasticNet,RMSE,All,Standardization,,,,,47.2,,
71,Regression,ElasticNet,RMSE,QB,"Downselected, Standardized Features",72.2,68.6,80.8,,,81.5,
72,Regression,ElasticNet,RMSE,QB,Optimized,72.7,68.1,80.9,,,81.5,
73,Regression,ElasticNet,RMSE,RB,"Downselected, Standardized Features",61.4,53.7,62.1,,,61.6,
74,Regression,ElasticNet,RMSE,RB,Optimized,60.8,52.9,61.6,,,61.6,
75,Regression,ElasticNet,RMSE,TE,"Downselected, Standardized Features",29.7,32.1,30.1,,,29.7,
76,Regression,ElasticNet,RMSE,TE,Optimized,29.0,31.7,30.1,,,29.7,
77,Regression,ElasticNet,RMSE,WR,"Downselected, Standardized Features",54.5,49.1,55.3,,,54.9,
78,Regression,ElasticNet,RMSE,WR,Optimized,54.0,49.0,55.3,,,54.9,
79,Regression,ElasticNet,R^2,All,Base Model,,,,0.45,,,
80,Regression,ElasticNet,R^2,All,Base/Default Model,,,,,0.45,,
81,Regression,ElasticNet,R^2,All,Hyperparameter Optimization,,,,,0.45,,
82,Regression,ElasticNet,R^2,All,Manual Feature Selection,,,,0.45,0.45,,
83,Regression,ElasticNet,R^2,All,Optimized + Standardized,,,,0.46,,,
84,Regression,ElasticNet,R^2,All,Standardization,,,,,0.45,,
85,Regression,ElasticNet,R^2,QB,"Downselected, Standardized Features",0.44,0.48,0.45,,,0.44,
86,Regression,ElasticNet,R^2,QB,Optimized,0.43,0.48,0.45,,,0.44,
87,Regression,ElasticNet,R^2,RB,"Downselected, Standardized Features",0.42,0.39,0.42,,,0.43,
