tackled_for_loss_seasonTotal,yards_gained_seasonTotal,fumble_seasonTotal,touchdown_seasonTotal,complete_pass_seasonTotal,pass_attempt_seasonTotal,pass_touchdown_seasonTotal,air_yards_seasonTotal,yards_after_catch_seasonTotal,tackled_for_loss-1_seasonTotal,yards_gained-1_seasonTotal,fumble-1_seasonTotal,touchdown-1_seasonTotal,complete_pass-1_seasonTotal,pass_attempt-1_seasonTotal,pass_touchdown-1_seasonTotal,air_yards-1_seasonTotal,yards_after_catch-1_seasonTotal,tackled_for_loss-2_seasonTotal,yards_gained-2_seasonTotal,fumble-2_seasonTotal,touchdown-2_seasonTotal,complete_pass-2_seasonTotal,pass_attempt-2_seasonTotal,pass_touchdown-2_seasonTotal,air_yards-2_seasonTotal,yards_after_catch-2_seasonTotal,tackled_for_loss-3_seasonTotal,yards_gained-3_seasonTotal,fumble-3_seasonTotal,touchdown-3_seasonTotal,complete_pass-3_seasonTotal,pass_attempt-3_seasonTotal,pass_touchdown-3_seasonTotal,air_yards-3_seasonTotal,yards_after_catch-3_seasonTotal,tackled_for_loss_avgPerGame,yards_gained_avgPerGame,fumble_avgPerGame,touchdown_avgPerGame,complete_pass_avgPerGame,pass_attempt_avgPerGame,pass_touchdown_avgPerGame,air_yards_avgPerGame,yards_after_catch_avgPerGame,tackled_for_loss-1_avgPerGame,yards_gained-1_avgPerGame,fumble-1_avgPerGame,touchdown-1_avgPerGame,complete_pass-1_avgPerGame,pass_attempt-1_avgPerGame,pass_touchdown-1_avgPerGame,air_yards-1_avgPerGame,yards_after_catch-1_avgPerGame,tackled_for_loss-2_avgPerGame,yards_gained-2_avgPerGame,fumble-2_avgPerGame,touchdown-2_avgPerGame,complete_pass-2_avgPerGame,pass_attempt-2_avgPerGame,pass_touchdown-2_avgPerGame,air_yards-2_avgPerGame,yards_after_catch-2_avgPerGame,tackled_for_loss-3_avgPerGame,yards_gained-3_avgPerGame,fumble-3_avgPerGame,touchdown-3_avgPerGame,complete_pass-3_avgPerGame,pass_attempt-3_avgPerGame,pass_touchdown-3_avgPerGame,air_yards-3_avgPerGame,yards_after_catch-3_avgPerGame,fanPts,fanPts-1,fanPts-2,fanPts-3
0.0,7.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.5,0.0,0.5,0.5,2.5,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,
0.0,67.0,0.0,1.0,4.0,9.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.166666666666666,0.0,0.16666666666666666,0.6666666666666666,1.5,0.16666666666666666,0.0,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,
0.0,125.0,0.0,2.0,10.0,22.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.5,0.0,0.2,1.0,2.2,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,
0.0,121.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.285714285714285,0.0,0.0,0.8571428571428571,2.142857142857143,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,
0.0,307.0,0.0,1.0,25.0,57.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.615384615384617,0.0,0.07692307692307693,1.9230769230769231,4.384615384615385,0.07692307692307693,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,,
0.0,958.0,2.0,4.0,88.0,148.0,4.0,0.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,59.875,0.125,0.25,5.5,9.25,0.25,0.0,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8,,,
0.0,21.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.5,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,
1.0,4148.0,22.0,28.0,351.0,614.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05555555555555555,230.44444444444446,1.2222222222222223,1.5555555555555556,19.5,34.111111111111114,1.3888888888888888,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.8,,,
0.0,59.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.833333333333334,0.0,0.0,0.8333333333333334,1.6666666666666667,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,
3.0,747.0,3.0,1.0,39.0,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,31.125,0.125,0.041666666666666664,1.625,2.0833333333333335,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7,,,
0.0,1051.0,4.0,6.0,74.0,121.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,65.6875,0.25,0.375,4.625,7.5625,0.3125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1,,,
0.0,387.0,0.0,3.0,28.0,44.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43.0,0.0,0.3333333333333333,3.111111111111111,4.888888888888889,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,,
0.0,639.0,1.0,5.0,37.0,91.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39.9375,0.0625,0.3125,2.3125,5.6875,0.3125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9,,,
0.0,126.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.2,0.0,0.0,1.4,3.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,
0.0,314.0,0.0,1.0,22.0,43.0,1.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.545454545454547,0.0,0.09090909090909091,2.0,3.909090909090909,0.09090909090909091,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,
1.0,424.0,2.0,4.0,44.0,78.0,4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,47.111111111111114,0.2222222222222222,0.4444444444444444,4.888888888888889,8.666666666666666,0.4444444444444444,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.400000000000006,,,
40.0,1490.0,3.0,6.0,31.0,48.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,99.33333333333333,0.2,0.4,2.066666666666667,3.2,0.06666666666666667,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,
0.0,22.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.333333333333333,0.0,0.0,1.0,1.6666666666666667,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,
